"artist:ke-ta,{{artist:rei(sanbonzakura)}},[artist:ririko_(fhnngririko)],[[artist:koyama_hirokazu]],{artist:misheng_liu_yin},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[artist:momoco],{{artist:meion}},{{artist:misheng_liu_yin}},[artist:sho_(sho_lwlw)],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:chiaroscuro,{{artist:onineko}},{{{artist:potg(piotegu)}}},[artist:meito_(maze)],artist:siera_(sieracitrus),year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{artist:momoco}},{artist:dokuro_deluxe},{{{{artist:maccha_(mochancc)}}}},{{{artist:tidsean}}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:gawako,artist:hiten,artist:sencha_(senchat),artist:meion,{{{artist:fujiyama}}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:ebifuya},[artist:liduk],[artist:fuzichocomomoco],artist:tianliang_duohe_fangdongye,{{artist:kousaki_rui}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:shiratama_(shiratamaco),artist:wlop,[artist:asakuraf],[artist:chen_bin],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:ciloranko},{artist:nixeu},[[artist:rei_(sanbonzakura)]],[[[artist:shiratama_(shiratamaco)]]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:potg(piotegu)},[artist:gomzi],artist:hiten,[artist:fuzichocomomoco],{artist:chen_bin},{artist:berryverrine},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:fuzichocomomoco,{{{{artist:anmi}}}},{artist:momoko_(momopoco)},[artist:mafuyu],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:binggong_asylum},{{{artist:neco}}},{{artist:kawacy}},[[[[artist:cui_(jidanhaidaitang)]]]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{{artist:tandohark}}},[[artist:fishine]],[[artist:shiratama_(shiratamaco)]],{artist:ame_usari},{{artist:tidsean}},[[artist:misaka_12003-gou]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{{artist:cool-kyou_shinja}}},{artist:poharo},[[artist:hagimorijia]],{artist:tandohark},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:fishine,{{{artist:gawako}}},[artist:aono_(f_i_s)],{{artist:nekoda_(maoda)}},[[artist:anmi]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:nixeu},artist:shimhaq,artist:ningen_mame,[[[artist:mignon]]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:kousaki_rui,{artist:mikozin},artist:colis,artist:siera_(sieracitrus),artist:binggong_asylum,year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[artist:kedama_milk],artist:hagimorijia,[artist:potg(piotegu)],artist:ke-ta,{artist:typehatena},{{{artist:misaka_12003-gou}}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:liduk,{{{artist:tekito_midori}}},{{{artist:namie}}},artist:mairo,[[artist:hiten]],{artist:torino_aqua},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{{artist:asakuraf}}},artist:reoen,{{artist:hiten}},{{artist:binggong_asylum}},{{{artist:toake_mikage}}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[[[artist:tab_head]]]],[[artist:rolua]],artist:saru,[[[artist:aak]]],{{artist:maccha_(mochancc)}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:meion,[artist:shimhaq],{{{artist:misaka_12003-gou}}},{{artist:konya_karasue}},[artist:mika_pikazo],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[artist:freng]],{{artist:nardack}},{artist:fuzichoco},[[[artist:cofffee]]],artist:cool-kyou_shinja,year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{{artist:konya_karasue}}},{{{artist:reddizen}}},[[artist:beni_shake]],{{{artist:tekito_midori}}},{artist:berryverrine},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:kase_daiki},[[[[artist:mignon]]]],[[[artist:atdan]]],[[[artist:freng]]],{{{artist:momoko_(momopoco)}}},[[artist:noyu_(noyu23386566)]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:meion,{artist:gawako},{{{artist:kousaki_rui}}},[[[artist:mvv]]],artist:torino_aqua,{{{artist:mandrill}}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{{artist:huanxiang_heitu}}},{{{{artist:omone_hokoma_agm}}}},artist:ask(askzy),artist:colis,[artist:tidsean],[[[artist:ciloranko]]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[artist:colis]],{artist:mignon},{{artist:hiten}},[artist:hagimorijia],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:ke-ta},[[[artist:aono_(f_i_s)]]],[[[[artist:koyama_hirokazu]]]],{{artist:chen_bin}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[[artist:ririko_(fhnngririko)]]],{artist:40hara},{{artist:siera_(sieracitrus)}},{artist:rei_(sanbonzakura)},{{artist:shiro9jira}},{{{artist:binggong_asylum}}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[artist:wanke]],{{{artist:huanxiang_heitu}}},[[artist:mvv]],[[[artist:muloli]]],{artist:cui_(jidanhaidaitang)},[[[artist:fuzichocomomoco]]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:tab_head,{{artist:momoko_(momopoco)}},{{artist:gomzi}},[[[artist:sakurazawa_izumi]]],[[artist:shiro9jira]],[artist:meion],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{artist:berryverrine}},{{{artist:kousaki_rui}}},{artist:kawacy},artist:rella,year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[artist:asakuraf],[artist:siera_(sieracitrus)],{artist:toake_mikage},[artist:dishwasher1910],{{artist:reddizen}},{{{{artist:mignon}}}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[artist:huanxiang_heitu]],{artist:ningen_mame},{artist:ogata_tei},{artist:mafuyu},[[artist:fuzichocomomoco]],{artist:rella},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{artist:mvv}},[[[artist:dokuro_deluxe]]],{artist:berryverrine},{{artist:liduk}},artist:cofffee,[artist:maccha_(mochancc)],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{{artist:ke-ta}}},[[[artist:tab_head]]],{artist:reddizen},{{artist:misaka_12003-gou}},[[artist:wanke]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{artist:cui_(jidanhaidaitang)}},{{artist:reoen}},{artist:mvv},artist:dishwasher1910,year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:misheng_liu_yin},[artist:reddizen],[artist:ame_usari],[[[artist:hiten]]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[artist:neco],{{artist:freng}},[artist:asakuraf],{artist:torino_aqua},{artist:reddizen},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:colis},[[artist:liduke]],{artist:cool-kyou_shinja},artist:omone_hokoma_agm,artist:j.c.14,[[artist:ogata_tei]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[artist:wanke]],{{artist:ask(askzy)}},[[artist:chen_bin]],artist:poharo,year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[artist:kousaki_rui]],{{{artist:ru_zhai}}},{artist:v-mag},{{artist:fujiyama}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[artist:mvv]],[[[artist:gawako]]],{{artist:noyu_(noyu23386566)}},artist:cool-kyou_shinja,[[[[artist:kedama_milk]]]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:mecha},artist:dk_senie,{{artist:momoko_(momopoco)}},{{artist:misaka_12003-gou}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:mvv},{{artist:olchas}},[[artist:v-mag]],artist:nekoda_(maoda),artist:wanke,year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[artist:wlop],{{{artist:onineko}}},{{{{artist:hiten}}}},{{artist:reoen}},artist:mery_(yangmalgage),year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[[artist:ningen_mame]]],[[artist:kurot]],[artist:tekito_midori],{artist:gomzi},[artist:feral_lemma],artist:olchas,year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{artist:wlop}},artist:kedama_milk,artist:momoko_(momopoco),{artist:neco},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:tianliang_duohe_fangdongye,[artist:reddizen],{{artist:shiratama_(shiratamaco)}},[artist:dokuro_deluxe],artist:shiro9jira,[[[[artist:chen_bin]]]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[artist:mafuyu]],artist:omone_hokoma_agm,{artist:dishwasher1910},artist:tidsean,year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{{{artist:reddizen}}}},[[[artist:as109]]],[[artist:fuzichoco]],{{{artist:nardack}}},[[[[artist:fishine]]]],[[artist:aono_(f_i_s)]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[artist:ame_usari],[[[artist:dk_senie]]],[[[[artist:mignon]]]],[artist:rolua],[[artist:tab_head]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{artist:momoco}},[[[artist:ebifuya]]],[artist:siera_(sieracitrus)],[artist:rei_(sanbonzakura)],artist:kurot,[[[[artist:tianliang_duohe_fangdongye]]]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:tianliang_duohe_fangdongye},{{{artist:dk_senie}}},[[[artist:tab_head]]],{artist:cool-kyou_shinja},artist:maccha_(mochancc),{{artist:wanke}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[artist:fuzichocomomoco],[artist:atdan],{{artist:shimhaq}},{artist:chen_bin},[[artist:mandrill]],[[artist:hiten_(hitenkei)]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:kawacy,[artist:misheng_liu_yin],{{artist:momozu_komamochi}},[artist:sakurazawa_izumi],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[artist:rei_(sanbonzakura)],[[artist:nababa]],{{{artist:maccha_(mochancc)}}},[artist:ke-ta],[[[artist:potg(piotegu)]]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:mery_(yangmalgage),{{{artist:shiratama_(shiratamaco)}}},[artist:wanke],[[[artist:fkey]]],artist:hiten,artist:,year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:meion,[artist:olchas],[artist:mika_pikazo],artist:anmi,year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[artist:gomzi],{artist:tekito_midori},[[artist:rei_(sanbonzakura)]],artist:meito_(maze),[[artist:nekoda_(maoda)]],[artist:ask(askzy)],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{artist:fishine}},[[[artist:momoco]]],{artist:liduk},{{{artist:reddizen}}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{{artist:tandohark}}},artist:asakuraf,{{artist:shimhaq}},{artist:atdan},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:meion,artist:tandohark,{{artist:rei_(sanbonzakura)}},{artist:shiro9jira},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[[[artist:fkey]]]],artist:colis,[[[artist:binggong_asylum]]],{artist:mafuyu},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:tandohark,[[artist:beni_shake]],[[artist:wlop]],[artist:rei(sanbonzakura)],{{artist:ame_usari}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:misaka_12003-gou},[[artist:wanke]],{{artist:konya_karasue}},[artist:poharo],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:liduke,artist:kurot,[[artist:atdan]],[artist:momozu_komamochi],{{{artist:cofffee}}},[artist:huanxiang_heitu],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[artist:momozu_komamochi]],artist:misaka_12003-gou,{{{artist:huanxiang_heitu}}},{{artist:maccha_(mochancc)}},artist:mignon,year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{artist:shimhaq},artist:rei(sanbonzakura),artist:shiro9jira,{artist:ruriri},[[artist:poharo]],{artist:maccha_(mochancc)},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[artist:nardack],{artist:kawacy},[[artist:tandohark]],{artist:hiten},[[artist:namie]],[[[artist:feral_lemma]]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{{{artist:kurot}}}},{{artist:fujiyama}},{artist:hiten_(hitenkei)},[[artist:ruriri]],[[[artist:beni_shake]]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[[artist:mignon]]],{{artist:misheng_liu_yin}},{{{{artist:houkisei}}}},[[artist:tekito_midori]],artist:noyu_(noyu23386566),year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[[artist:noyu_(noyu23386566)]],[artist:potg(piotegu)],{{artist:toake_mikage}},[[artist:meion]],[artist:momoko_(momopoco)],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[artist:wanke],{{artist:chen_bin}},{artist:nixeu},{artist:meito_(maze)},[[artist:j.c.14]],{artist:omone_hokoma_agm},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"[artist:meito_(maze)],{{artist:houkisei}},artist:,{{{artist:freng}}},year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"{{artist:aono_(f_i_s)}},artist:fuzichocomomoco,[[[[artist:mikozin]]]],[[artist:nekoda_(maoda)]],[artist:namie],[[artist:nababa]],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
"artist:asakuraf,artist:fuzichoco,{artist:dishwasher1910},[artist:ningen_mame],year 2023,1girl, upper body, (open hand, waving, waving arms), hand, fingers, solo, looking at viewer, hair flower, best quality, amazing quality, very aesthetic, absurdres, best quality, amazing quality, very aesthetic, absurdres"
